"date","adm_cd","m00","m05","m10","m15","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","m75","m80","m85","f00","f05","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","f75","f80","f85","total"
"20240311","45180350","0.0","1.01","4.04","3.03","8.08","12.12","15.15","21.21","21.21","25.25","53.53","69.69","71.71","88.88","25.25","23.23","18.18","12.12","0.0","0.0","3.03","0.0","6.06","7.07","13.13","7.07","9.09","17.17","29.29","31.31","50.5","42.42","34.34","27.27","24.24","26.26","1044.34"
"20240316","47770370","0.0","18.18","24.24","12.12","31.31","69.69","79.79","52.52","75.75","110.09","128.27","187.86","172.71","139.38","92.92","51.51","18.18","13.13","0.0","18.18","22.22","16.16","20.2","49.49","50.5","55.55","64.64","72.72","117.16","148.47","145.44","110.09","79.79","46.46","23.23","29.29","2863.35"
"20240315","47770360","0.0","20.2","40.4","60.6","62.62","98.98","115.14","94.94","153.52","147.46","248.46","272.7","310.07","229.27","163.62","93.93","68.68","35.35","0.0","23.23","50.5","50.5","38.38","80.8","76.76","53.53","110.09","138.37","223.21","247.45","258.56","208.06","140.39","96.96","67.67","59.59","5020.71"
"20240327","47770360","1.01","18.18","39.39","59.59","48.48","105.04","106.05","81.81","147.46","131.3","213.11","261.59","288.86","190.89","117.16","79.79","50.5","34.34","0.0","17.17","47.47","53.53","30.3","71.71","69.69","59.59","93.93","113.12","191.9","207.05","207.05","182.81","111.1","74.74","62.62","56.56","4396.53"
"20240313","45180390","0.0","3.03","22.22","19.19","19.19","49.49","43.43","58.58","65.65","96.96","130.29","103.02","138.37","115.14","58.58","41.41","29.29","25.25","0.0","3.03","12.12","14.14","13.13","31.31","35.35","30.3","44.44","53.53","79.79","101.0","76.76","70.7","47.47","39.39","45.45","32.32","2329.06"
"20240307","47770350","0.0","1.01","8.08","14.14","71.71","65.65","70.7","68.68","58.58","66.66","104.03","140.39","150.49","111.1","69.69","38.38","30.3","20.2","0.0","6.06","8.08","6.06","14.14","15.15","20.2","19.19","34.34","43.43","63.63","105.04","119.18","68.68","52.52","37.37","32.32","16.16","2136.15"
"20240314","45180350","0.0","0.0","3.03","4.04","9.09","18.18","17.17","18.18","22.22","33.33","44.44","74.74","76.76","80.8","33.33","25.25","17.17","12.12","0.0","0.0","4.04","1.01","5.05","8.08","12.12","8.08","11.11","15.15","29.29","25.25","51.51","46.46","38.38","28.28","28.28","26.26","1085.75"
"20240301","45180310","0.0","6.06","27.27","20.2","55.55","104.03","107.06","103.02","105.04","124.23","156.55","173.72","216.14","125.24","53.53","54.54","17.17","26.26","0.0","19.19","14.14","17.17","34.34","51.51","55.55","52.52","65.65","73.73","130.29","157.56","138.37","70.7","41.41","45.45","32.32","33.33","3403.7"
"20240306","45180440","0.0","1.01","2.02","1.01","11.11","13.13","11.11","8.08","19.19","27.27","43.43","68.68","58.58","53.53","23.23","19.19","15.15","8.08","0.0","2.02","5.05","2.02","3.03","11.11","5.05","6.06","13.13","17.17","33.33","46.46","31.31","24.24","21.21","20.2","23.23","27.27","843.35"
"20240312","45180400","0.0","1.01","9.09","4.04","16.16","40.4","27.27","35.35","38.38","67.67","94.94","103.02","109.08","108.07","69.69","45.45","30.3","25.25","0.0","4.04","5.05","4.04","6.06","16.16","14.14","21.21","20.2","41.41","37.37","61.61","114.13","88.88","57.57","38.38","28.28","32.32","1973.54"
"20240304","45180535","0.0","65.65","209.07","216.14","235.33","334.31","294.92","270.68","389.86","416.12","551.46","548.43","546.41","383.8","194.93","146.45","80.8","56.56","0.0","80.8","221.19","273.71","196.95","332.29","245.43","277.75","368.65","433.29","535.3","525.2","402.99","289.87","192.91","121.2","103.02","88.88","12562.38"
"20240311","45180360","0.0","1.01","3.03","3.03","8.08","12.12","29.29","22.22","24.24","28.28","36.36","52.52","46.46","36.36","27.27","22.22","10.1","3.03","0.0","2.02","7.07","0.0","6.06","15.15","5.05","10.1","8.08","12.12","24.24","37.37","37.37","31.31","24.24","20.2","12.12","11.11","830.22"
